Run Description: Experiment # 1.2: RIMDecay tuned 
Log file created at 2021/07/26  18:36:40
Directory: mimic//0726-18-36-40
Start time: 2021-07-26 18:36:40.692683
Training initiated with custom loss function
{'epochs': 100, 'batch_size': 56, 'input_size': 104, 'model_type': 'RIMDecay', 'hidden_size': 104, 'num_rims': 2, 'lr': 9.645142728701031e-05, 'rnn_cell': 'GRU', 'input_key_size': 64, 'input_value_size': 32, 'input_query_size': 64, 'num_input_heads': 1, 'input_dropout': 0.2694669454300502, 'comm_key_size': 32, 'comm_value_size': 104, 'comm_query_size': 32, 'num_comm_heads': 1, 'comm_dropout': 0.12824679075614986, 'active_rims': 2, 'mask': True, 'mask_size': 104, 'delta_size': 104, 'static_features': 17, 'need_data_preprocessing': False, 'raw_data_file_path': 'data/10_percent/all_hourly_data.pkl', 'processed_data_path': 'data/50_percent/', 'input_file_path': 'data/mimic_iii/test_dump/decay_data_20926.npz', 'decay_input_file_path': 'data/mimic_iii/test_dump/decay_data_20926.npz', 'max_no_improvement': 10, 'improvement_threshold': 0.0001, 'is_tuning': False, 'balance': False}
Model Arch: 
 MIMICDecayCBLossModel(
  (rim_decay_cell): RIMDCell(
    (gamma_x_l): CustomLinear(in_features=104, out_features=104, bias=True)
    (gamma_h_l): CustomLinear(in_features=104, out_features=104, bias=True)
    (input_key_layer): CustomLinear(in_features=104, out_features=64, bias=False)
    (input_value_layer): CustomLinear(in_features=104, out_features=32, bias=False)
    (input_dropout): Dropout(p=0.2694669454300502, inplace=False)
    (rnn): GroupGRUCell(
      (input_hidden): GroupLinear(in_features=136, out_features=312, num_blocks=2, bias=True)
      (hidden_hidden): GroupLinear(in_features=104, out_features=312, num_blocks=2, bias=True)
    )
    (input_query_layer): GroupLinear(in_features=104, out_features=64, num_blocks=2, bias=False)
    (comm_key_layer): GroupLinear(in_features=104, out_features=32, num_blocks=2, bias=False)
    (comm_value_layer): GroupLinear(in_features=104, out_features=104, num_blocks=2, bias=False)
    (comm_query_layer): GroupLinear(in_features=104, out_features=32, num_blocks=2, bias=False)
    (comm_attention_output): GroupLinear(in_features=104, out_features=104, num_blocks=2, bias=False)
    (comm_dropout): Dropout(p=0.12824679075614986, inplace=False)
  )
  (linear_one): Linear(in_features=225, out_features=10, bias=True)
  (linear_two): Linear(in_features=10, out_features=2, bias=True)
  (relu): ReLU()
)
Training, Validating, and Testing: RIMDecay model with GRU cell 
***********************************************************
**************** EPOCH: 1 ***********************
epoch loss: 62.857343297451735, taining accuracy: 0.7986755871108684, validation accuracy: 0.7734225621414914, Test accuracy: 0.7654557042702358 , F1-score: 0.41646090534979424
***********************************************************
**************** EPOCH: 2 ***********************
epoch loss: 55.85051901638508, taining accuracy: 0.777785363189514, validation accuracy: 0.7966857871255577, Test accuracy: 0.7874442319949012 , F1-score: 0.4536082474226804
***********************************************************
**************** EPOCH: 3 ***********************
epoch loss: 53.97355353832245, taining accuracy: 0.7782632441288914, validation accuracy: 0.8575525812619503, Test accuracy: 0.8559592096876991 , F1-score: 0.4902634593356243
***********************************************************
**************** EPOCH: 4 ***********************
epoch loss: 50.05619802325964, taining accuracy: 0.7836564718732932, validation accuracy: 0.7947737412364564, Test accuracy: 0.7820267686424475 , F1-score: 0.46410684474123537
***********************************************************
**************** EPOCH: 5 ***********************
epoch loss: 48.84715533815324, taining accuracy: 0.7885718186783178, validation accuracy: 0.7746972594008923, Test accuracy: 0.7594008922880816 , F1-score: 0.44531864673485444
***********************************************************
**************** EPOCH: 6 ***********************
epoch loss: 49.45413490012288, taining accuracy: 0.8008601856908794, validation accuracy: 0.7836201402166986, Test accuracy: 0.7724665391969407 , F1-score: 0.4579663730984788
***********************************************************
**************** EPOCH: 7 ***********************
epoch loss: 48.70930868014693, taining accuracy: 0.7958765701802294, validation accuracy: 0.8722115997450606, Test accuracy: 0.8718929254302104 , F1-score: 0.49301143583227447
***********************************************************
**************** EPOCH: 8 ***********************
epoch loss: 47.22315193712711, taining accuracy: 0.7964227198252322, validation accuracy: 0.8215423836838751, Test accuracy: 0.8164435946462715 , F1-score: 0.4833333333333333
***********************************************************
**************** EPOCH: 9 ***********************
epoch loss: 47.19792788848281, taining accuracy: 0.8047515019115238, validation accuracy: 0.847036328871893, Test accuracy: 0.8457616316124921 , F1-score: 0.4925690021231422
***********************************************************
**************** EPOCH: 10 ***********************
epoch loss: 47.18757424503565, taining accuracy: 0.801815947569634, validation accuracy: 0.8413001912045889, Test accuracy: 0.840025493945188 , F1-score: 0.4865424430641822
***********************************************************
**************** EPOCH: 11 ***********************
epoch loss: 45.73797196894884, taining accuracy: 0.8033178590933916, validation accuracy: 0.7578075207138305, Test accuracy: 0.7469725940089229 , F1-score: 0.44017725258493356
***********************************************************
**************** EPOCH: 12 ***********************
epoch loss: 46.2012287247926, taining accuracy: 0.8011332605133806, validation accuracy: 0.7848948374760994, Test accuracy: 0.7708731676226896 , F1-score: 0.46203037569944044
***********************************************************
**************** EPOCH: 13 ***********************
epoch loss: 46.05893683433533, taining accuracy: 0.8085062807209176, validation accuracy: 0.8138942001274697, Test accuracy: 0.8103887826641173 , F1-score: 0.48128342245989303
***********************************************************
**************** EPOCH: 14 ***********************
